# Time(ns) B(a.u.) 
-3574.99 2.83808e-05
-3573.76 6.81478e-05
-3572.49 6.19293e-05
-3571.26 2.98862e-05
-3569.99 2.65299e-05
-3568.76 -4.64849e-06
-3567.49 4.96639e-05
-3566.26 -1.01314e-05
-3564.99 2.6644e-05
-3563.76 4.06792e-07
-3562.49 -2.5031e-05
-3561.26 -6.46224e-05
-3559.99 -3.6643e-06
-3558.76 -1.60187e-05
-3557.49 8.16927e-05
-3556.26 -7.87461e-07
-3554.99 8.24167e-05
-3553.76 3.52631e-05
-3552.49 8.98414e-05
-3551.26 3.95918e-05
-3549.99 0.000116841
-3548.76 -5.9603e-06
-3547.49 -6.26327e-05
-3546.26 -5.7561e-05
-3544.99 2.80198e-05
-3543.76 -4.05737e-05
-3542.49 -3.84177e-05
-3541.26 -3.01322e-05
-3539.99 1.74718e-05
-3538.76 -0.000109154
-3537.49 2.25722e-05
-3536.26 -4.2861e-05
-3534.99 4.76751e-05
-3533.76 -3.96972e-05
-3532.49 2.42554e-05
-3531.26 -1.91221e-07
-3529.99 4.69037e-05
-3528.76 -3.78412e-05
-3527.49 3.35463e-05
-3526.26 -8.70955e-05
-3524.99 -9.72586e-07
-3523.76 -7.07279e-05
-3522.49 -5.01931e-06
-3521.26 -5.64813e-05
-3519.99 2.88143e-05
-3518.76 -9.1883e-05
-3517.49 4.05688e-05
-3516.26 -1.24451e-05
-3514.99 8.68198e-05
-3513.76 -5.58502e-05
-3512.49 7.39033e-05
-3511.26 2.8521e-05
-3509.99 2.95928e-05
-3508.76 -7.47448e-06
-3507.49 4.90132e-05
-3506.26 -5.07321e-05
-3504.99 7.90219e-05
-3503.76 -3.47483e-05
-3502.49 2.53798e-05
-3501.26 -2.41972e-05
-3499.99 9.90708e-05
-3498.76 1.5808e-05
-3497.49 0.000115054
-3496.26 1.2445e-05
-3494.99 5.39468e-05
-3493.76 -2.7745e-05
-3492.49 5.12492e-05
-3491.26 -1.57124e-07
-3489.99 5.17296e-05
-3488.76 -2.91309e-05
-3487.49 -1.99473e-05
-3486.26 -6.36298e-05
-3484.99 8.50826e-05
-3483.76 7.04937e-06
-3482.49 6.10609e-05
-3481.26 1.86537e-05
-3479.99 2.86353e-07
-3478.76 -4.34515e-05
-3477.49 7.22036e-05
-3476.26 -1.03941e-05
-3474.99 1.00613e-05
-3473.76 -6.31494e-05
-3472.49 4.90588e-06
-3471.26 -8.77252e-05
-3469.99 5.5111e-05
-3468.76 2.90754e-05
-3467.49 3.65221e-05
-3466.26 -3.76678e-05
-3464.99 -2.09451e-05
-3463.76 7.86241e-06
-3462.49 1.19461e-05
-3461.26 -1.90418e-05
-3459.99 2.94449e-05
-3458.76 -6.47668e-06
-3457.49 3.04834e-05
-3456.26 -2.00913e-05
-3454.99 1.76596e-05
-3453.76 -1.90881e-06
-3452.49 7.84713e-05
-3451.26 1.86943e-05
-3449.99 7.1455e-06
-3448.76 -6.27203e-05
-3447.49 1.35759e-05
-3446.26 -4.83616e-05
-3444.99 -2.50434e-05
-3443.76 -3.03097e-05
-3442.49 -7.30125e-05
-3441.26 -1.6599e-05
-3439.99 7.1468e-05
-3438.76 -2.08859e-05
-3437.49 5.47454e-05
-3436.26 -5.14856e-05
-3434.99 4.37877e-05
-3433.76 3.19801e-05
-3432.49 -1.94577e-06
-3431.26 -3.93825e-05
-3429.99 -3.2638e-05
-3428.76 -0.000103594
-3427.49 -2.19761e-05
-3426.26 -4.48519e-05
-3424.99 -2.55554e-06
-3423.76 -6.46238e-05
-3422.49 -2.73532e-05
-3421.26 -0.000131126
-3419.99 -0.000131274
-3418.76 -0.000105275
-3417.49 -5.7338e-06
-3416.26 -5.33336e-05
-3414.99 -5.29086e-05
-3413.76 -0.000155296
-3412.49 -5.92281e-05
-3411.26 -0.000138887
-3409.99 -3.60195e-05
-3408.76 -7.51377e-05
-3407.49 1.18759e-05
-3406.26 -7.61911e-05
-3404.99 -7.21205e-06
-3403.76 -0.000103927
-3402.49 -1.57305e-05
-3401.26 -5.72326e-05
-3399.99 -1.36794e-05
-3398.76 -9.85864e-05
-3397.49 -6.99082e-05
-3396.26 -0.000124862
-3394.99 7.4596e-06
-3393.76 -4.99522e-05
-3392.49 4.65095e-06
-3391.26 -9.63692e-05
-3389.99 -0.000115956
-3388.76 -0.000148219
-3387.49 -4.6977e-05
-3386.26 -8.22889e-05
-3384.99 4.67071e-05
-3383.76 -5.0316e-06
-3382.49 3.15551e-05
-3381.26 -8.71854e-05
-3379.99 6.24504e-05
-3378.76 -1.10185e-05
-3377.49 3.21095e-05
-3376.26 -5.22431e-05
-3374.99 -3.35011e-06
-3373.76 -5.44424e-05
-3372.49 5.77202e-05
-3371.26 -1.53055e-05
-3369.99 6.70515e-05
-3368.76 -2.64848e-05
-3367.49 -9.93073e-05
-3366.26 -8.7555e-05
-3364.99 2.17986e-05
-3363.76 -9.63875e-05
-3362.49 -5.86185e-05
-3361.26 -7.85562e-05
-3359.99 -1.10185e-05
-3358.76 -6.49009e-05
-3357.49 1.83063e-05
-3356.26 -4.6737e-05
-3354.99 3.81888e-05
-3353.76 -6.32195e-05
-3352.49 -1.34906e-07
-3351.26 -0.000130369
-3349.99 2.27041e-05
-3348.76 -4.07684e-05
-3347.49 -7.26063e-05
-3346.26 -0.000125021
-3344.99 4.23373e-06
-3343.76 -4.55835e-05
-3342.49 4.44236e-05
-3341.26 -7.35774e-05
-3339.99 -6.24169e-05
-3338.76 -0.000120937
-3337.49 -8.4831e-05
-3336.26 -0.000142446
-3334.99 -3.75268e-05
-3333.76 -0.00011094
-3332.49 -6.14189e-05
-3331.26 -9.63795e-05
-3329.99 -4.00583e-05
-3328.76 -0.000112179
-3327.49 2.80335e-05
-3326.26 3.60547e-06
-3324.99 1.4138e-05
-3323.76 -3.75453e-05
-3322.49 3.40222e-06
-3321.26 -4.45485e-05
-3319.99 1.65401e-05
-3318.76 3.51735e-06
-3317.49 2.8902e-05
-3316.26 -7.78701e-05
-3314.99 -6.45871e-05
-3313.76 -4.31156e-05
-3312.49 7.311e-06
-3311.26 -6.9872e-05
-3309.99 1.42587e-05
-3308.76 -2.97927e-06
-3307.49 -1.9166e-05
